"pid","total_returned","total_sold","return_rate","channel","date_id","net_sales_amount","month_01","month_02","month_03","month_04","month_05","month_06","month_07","month_08","month_09","month_10","month_11","month_12","day_of_the_week_Friday","day_of_the_week_Monday","day_of_the_week_Saturday","day_of_the_week_Sunday","day_of_the_week_Thursday","day_of_the_week_Tuesday","day_of_the_week_Wednesday"
"00018645b311291",0,1,0,"1",2022-09-10,1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"0002c09028f0997",0,4,0,"0",2021-08-18,4,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"000d60c255ea40d",0,2,0,"0",2022-10-25,2,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"0012b783cc24610",0,1.95637635417555,0,"0",2022-09-17,1.95637635417555,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"00184a25beb0581",0,11,0,"0",2022-09-24,11,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"0028a2c5a106b50",-1,34,0.0294117647058824,"0",2022-09-27,33,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"002c00ad103704d",-1,3,0.333333333333333,"1",2022-03-24,2,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"002ced9ed153340",0,18,0,"0",1753-01-01,18,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"003d486b0890a6e",0,5,0,"0",2021-03-11,5,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"004500f185dec53",0,1,0,"0",2022-04-27,1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"005bcd221e2062e",-1,22,0.0454545454545455,"0",2022-10-22,21,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"0060a26534cc630",-1,3,0.333333333333333,"1",2022-06-08,2,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"00634b3a8315015",0,16,0,"0",2022-03-31,16,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0065ace3fe1f721",-1,1,1,"1",2022-06-03,0,"0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"0073f21bf4437e3",0,1,0,"1",2022-04-23,1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"0075b942eb5df27",0,5,0,"0",2022-10-05,5,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"007fee93357e955",0,2,0,"0",2022-10-14,2,"0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"008ea2a8b36b194",-1,1,1,"1",2022-06-13,0,"0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"0090a0eb6e4b818",-1,2,0.5,"0",2022-09-28,1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"00a2f1f2dd5b1a2",0,73.9563763541755,0,"0",2022-10-22,73.9563763541755,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"00a539e7c0427de",0,9,0,"0",2022-02-15,9,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"00af7795ed50ce7",0,2,0,"0",2022-12-27,2,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"00be94adac524ee",0,1,0,"0",2022-08-24,1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"00bf5bd27cb57b7",0,9,0,"0",2022-07-31,9,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"00c858927bb9cda",-1,4,0.25,"1",2022-04-04,3,"0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"00db129854ecec0",0,20,0,"0",2022-09-24,20,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"00df97bb7e48950",0,1,0,"0",2022-05-06,1,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"00e71ac60451d17",0,1,0,"1",2022-09-10,1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"00f3c0d50ada372",0,1,0,"0",2022-10-23,1,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"0111ca6d9ffcd89",0,1,0,"0",2022-04-14,1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"0116b7427486bab",0,12,0,"0",2022-03-24,12,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"01200b6683c6680",0,2,0,"0",2022-09-30,2,"0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"01203152d39320a",0,11,0,"0",2021-09-01,11,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"013a65f2b7d2105",0,10,0,"0",2022-03-08,10,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0140612c8790de6",0,3,0,"0",2022-12-16,3,"0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"0144d80b961dff4",0,5,0,"0",2021-11-27,5,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"014570d71a5d6e5",0,1,0,"1",2022-06-05,1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"0147a8f26547c54",0,2,0,"1",2022-05-18,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"016539eb958f688",-1,30.9563763541756,0.0323035224975586,"0",2022-05-14,29.9563763541756,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"0183c9ccf44109d",0,4,0,"0",2022-09-10,4,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"01914138faa73a8",0,5,0,"0",2022-09-09,5,"0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"0192233b525f531",0,13,0,"0",2022-02-25,13,"0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"01ad47da9342316",0,5,0,"0",2021-04-30,5,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"01b00d1bd1994b4",0,4,0,"0",2022-11-26,4,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"01bd461aaaa95d9",0,1,0,"0",2022-02-26,1,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"01d6da967912fd3",-2,31,0.0645161290322581,"0",2022-04-23,29,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"01dbc38e67876fe",0,1,0,"0",2021-11-17,1,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"01dca3005746fb5",0,3,0,"0",2022-09-25,3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"01e3598d44723cf",0,1,0,"0",2022-10-19,1,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"01eaaade3def240",0,7,0,"0",2022-08-24,7,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"01f04dcf0fdffa9",-1,32,0.03125,"0",2021-06-19,31,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"01f96ae38f6d2d8",0,19,0,"0",2022-07-22,19,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"01fcdd3e0785c47",0,5.95637635417555,0,"0",2022-10-20,5.95637635417555,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"02022f5a5e7786a",0,9,0,"0",2022-01-28,9,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"02077b0299463b6",-1,1,1,"1",2022-08-03,0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"020e52a9d264e29",0,5,0,"0",2022-06-21,5,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"0211934c0196de3",-1,2,0.5,"1",2022-04-24,1,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"021c43609957971",-2,5,0.4,"1",2022-04-06,3,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"021da6557a66789",0,4,0,"0",2022-03-29,4,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"021e0da3b7cc78d",-1,22,0.0454545454545455,"0",2021-11-26,21,"0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0233e9ab466fb87",0,13,0,"0",2022-09-17,13,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"024860cd435c114",0,6,0,"0",2022-05-06,6,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"02496c5601d82e2",-1,78.9127527083511,0.0126722230017224,"0",2022-07-09,77.9127527083511,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"024e56d49f111ee",-1,3,0.333333333333333,"1",2021-08-18,2,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
